BodyID	JointID	Confidance	X	Y	Z	Qw	Qx	Qy	Qz	X2DColor	Y2DColor	X2DDepth	Y2DDepth
1	0	0.666667	-106.894440	129.652969	2006.690552	0.658216	-0.361663	0.557692	-0.353457	953.296082	929.092285	295.576538	369.027893
1	1	0.666667	-86.497887	-10.821715	1932.015137	0.628440	-0.404324	0.527582	-0.404034	961.284790	859.818604	299.807892	333.749664
1	2	0.666667	-71.517982	-130.643967	1888.887329	0.670848	-0.289448	0.618321	-0.289590	967.766296	798.101318	303.310303	301.812256
1	3	0.666667	-58.343025	-276.906891	1760.316895	0.691910	-0.238931	0.639541	-0.234860	971.195251	713.683716	305.789246	258.034180
1	4	0.666667	-30.315332	-252.648407	1784.144897	0.907056	-0.367943	-0.145818	0.143539	986.941711	728.589905	313.836212	265.742493
1	5	0.666667	87.441856	-205.391998	1804.566650	0.665320	-0.258521	-0.356766	0.602689	1050.121094	754.906738	346.604614	279.546478
1	6	0.666667	92.153915	39.675236	1845.090210	0.434370	-0.360100	-0.253857	0.785626	1052.785034	885.938721	347.454224	347.385834
1	7	0.666667	16.398899	220.112183	1773.094971	0.302397	0.487015	0.598016	0.560133	1012.653259	988.225952	326.965576	398.759583
1	8	0.666667	-7.815400	300.325592	1794.863403	0.563645	0.070065	0.768048	0.295800	999.451111	1032.224609	320.161011	420.048706
1	9	0.666667	-42.281261	343.173798	1714.781494	0.563645	0.070065	0.768048	0.295800	978.367371	1066.002075	310.084534	436.001678
1	10	0.666667	-60.453072	297.204376	1733.436279	0.033597	0.182170	0.925788	-0.329548	968.493591	1036.571045	304.951843	422.035828
1	11	0.666667	-90.683914	-254.076218	1780.397583	0.364925	0.910100	-0.173872	-0.091193	954.286072	727.627686	296.884460	265.254028
1	12	0.666667	-199.800583	-208.788895	1785.019043	0.247081	0.741034	-0.489672	-0.387352	895.391541	752.357117	266.467957	278.179596
1	13	0.666667	-255.582428	23.376242	1869.087891	-0.372314	-0.508761	0.728060	0.269207	870.718262	878.042053	253.918625	342.827271
1	14	0.666667	-212.276367	222.133636	1812.453491	0.631404	0.042472	-0.572047	-0.521812	888.057800	987.539551	263.925415	397.700317
1	15	0.666667	-193.984177	282.385712	1743.725708	0.551101	0.123094	-0.560259	-0.606008	892.660095	1027.485718	267.033630	417.084503
1	16	0.666667	-159.392288	359.335297	1699.007080	0.551101	0.123094	-0.560259	-0.606008	908.939087	1078.339600	275.924438	441.212860
1	17	0.666667	-142.823853	303.277954	1752.194092	-0.372332	-0.519522	0.764000	0.088149	922.254639	1038.628052	281.788269	422.679718
1	18	0.666667	-25.753162	136.363815	2016.229126	0.588215	-0.348290	0.486892	-0.543723	993.086853	931.887878	315.912537	370.572205
1	19	0.333333	-2.216444	488.650085	2086.069336	0.737502	-0.163076	0.575986	-0.312630	1005.245361	1101.698853	321.807465	452.417358
1	20	0.333333	-50.717251	711.880005	2343.223877	0.736374	-0.172087	0.593389	-0.275733	986.137817	1175.563965	311.758942	485.012939
1	21	0.333333	-38.114189	879.826111	2344.524414	0.719773	0.297987	0.538193	0.321682	991.491699	1252.803467	314.508789	517.202576
1	22	0.666667	-180.063095	123.601494	1998.089111	0.370624	0.523288	0.526837	0.557898	917.045288	926.592041	277.142029	367.595154
1	23	0.333333	-243.920227	470.513397	2067.608887	0.203443	0.647784	0.363019	0.638125	887.762512	1095.682495	264.202667	448.721924
1	24	0.333333	-271.022675	724.236023	2303.627686	0.221840	0.637215	0.291480	0.678073	888.234619	1187.793213	265.215271	489.230286
1	25	0.333333	-288.576843	877.344727	2287.453125	-0.321461	0.661390	-0.239888	0.633782	878.177429	1262.934448	262.022369	519.963379
1	26	0.666667	-53.080742	-323.218689	1703.564819	0.695294	-0.153269	0.690578	-0.127185	972.515930	682.888245	306.836670	242.191528
1	27	0.666667	-61.789810	-215.460419	1607.740967	0.695294	-0.153269	0.690578	-0.127185	964.450500	735.760742	303.108490	269.520111
1	28	0.666667	-37.600941	-257.140686	1593.255859	0.581580	0.379936	0.596690	0.401714	978.527466	709.663696	310.555878	256.013458
1	29	0.666667	19.882324	-339.983429	1646.380981	0.127185	0.690578	0.153269	0.695294	1013.217468	666.888428	328.327484	234.043747
1	30	0.666667	-84.431122	-254.437271	1596.265503	0.581580	0.379936	0.596690	0.401714	950.448914	711.629761	295.951691	257.052521
1	31	0.666667	-128.949448	-348.072449	1652.171387	0.695294	-0.153269	0.690578	-0.127185	927.057312	663.106750	283.687073	232.233307
